language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.90  T=73.64 s (20.2 files/s, 7683.0 lines/s)"
ASP.NET,.\Engine\Dependencies\Mono\lib\xsp\test\Web.sitemap,1,0,115
C++,.\Engine\Serializer\Settings\GameObjectSerializer.cpp,14,168,115
ASP.NET,.\Engine\Dependencies\Mono\lib\xsp\test\1.1\webservice\ConverterService.asmx,17,0,114
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\type_mat3x2.hpp,42,11,114
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\type_mat3x4.hpp,41,11,114
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\internal\pshints.h,68,518,113
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\internal\t1types.h,56,90,113
C++,.\Engine\Dependencies\Vendor\glm\gtx\fast_trigonometry.inl,21,8,113
C++,.\Engine\Dependencies\Vendor\glm\gtx\matrix_decompose.inl,31,42,113
C++,.\Engine\EditorStateManager\gameStateManager.cpp,33,88,113
C/C++ Header,.\Engine\Dependencies\Vendor\glm\gtc\matrix_integer.hpp,114,207,112
C++,.\Engine\Dependencies\Vendor\glm\ext\vector_common.inl,18,0,111
C++,.\Engine\Dependencies\Vendor\glm\gtx\component_wise.inl,17,2,111
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\FSharp.DependencyManager.Nuget.xml,0,0,110
